Название города;Население в 1897;Население в 2020
Москва;1039;12678
Санкт-Петербург;1265;5398
Новосибирск;8;1626
Екатеринбург;43;1494
Казань;130;1257
Нижний Новгород;90;1252
Челябинск;20;1197
Самара;90;1157
Омск;37;1155
Ростов-на-Дону;120;1138
Уфа;49;1129
Красноярск;27;1094
Воронеж;81;1058
Пермь;45;1055
Волгоград;55;1009
Краснодар;66;933
Саратов;137;838
Тюмень;30;807
Тольятти;6;699
Ижевск;22;648
Барнаул;21;632
Ульяновск;42;628
Иркутск;51;624
Хабаровск;15;616
Ярославль;72;608
Владивосток;29;607
Махачкала;10;604
Томск;52;577
Оренбург;72;572
Кемерово;—;556
Новокузнецк;3;549
Рязань;46;539
Набережные Челны;—;534
Астрахань;113;530
Пенза;60;520
Киров;25;518
Липецк;21;509
Балашиха;—;507
Чебоксары;5;498
Калининград;—;489
Тула;115;475
Курск;76;453
Ставрополь;42;451
Севастополь;75;114
Сочи;—;444
Улан-Удэ;8;439
Тверь;54;425
Магнитогорск;—;413
Иваново;54;405
Брянск;25;403
Белгород;27;394
Сургут;1;381
Владимир;28;357
Чита;12;352
Нижний Тагил;30;349
Архангельск;21;347
Симферополь;88;143
Калуга;50;332
Смоленск;47;325
Волжский;—;324
Якутск;7;323
Саранск;15;321
Череповец;7;315
Курган;10;312
Вологда;28;310
Орёл;70;309
Подольск;4;308
Грозный;16;306
Владикавказ;44;304
Тамбов;48;292
Мурманск;—;288
Петрозаводск;13;281
Нижневартовск;—;278
Кострома;41;277
Стерлитамак;16;276
Йошкар-Ола;2;275
Новороссийск;17;275
Химки;—;260
Таганрог;51;249
Комсомольск-на-Амуре;—;245
Сыктывкар;4;244
Нальчик;—;240
Нижнекамск;—;240
Мытищи;—;236
Шахты;16;230
Дзержинск;—;229
Орск;14;227
Энгельс;20;227
Благовещенск;33;226
Братск;—;226
Королёв;—;226
Ангарск;—;225
Великий Новгород;26;225
Старый Оскол;16;224
Псков;30;210
Люберцы;—;205
Южно-Сахалинск;—;201
Бийск;17;199
Прокопьевск;—;190